93264	ucdt	Gunner Kill Assist Share - Lightning
219375	ucdt	Customize your ground vehicle by adding a PS2 Gold Hood Ornament.
274368	ucdt	Mag-Cutter
436376	ucdt	Allows the user to carry 3 EMP Spikers at a time
715733	ugdt	Strafe Speed 1
931262	ugdt	Blackheart
1261098	ucdt	2.5x Zoom Optics
1280742	ugdt	"8" Hood Ornament
1290857	ugdt	Flash Bumper TR003
1369873	ucdt	Allows the use of low rocket-assisted jumps with a short cooldown.
1467536	ucdt	Increases the Idle Timer on the Liberator to 27 minutes.
1468731	ucdt	Mag-Cutter: Silver Medal
1515325	ugdt	Melee Booster 4 (11118) (DNT)
1517575	ucdt	Could not kick from squad due to bad group ID.
1530486	ucdt	Unlock performance upgrades that increase the braking force of the vehicle.
1926553	ucdt	Maintain a defensive perimeter around the node!
2025683	ucdt	Flayer: Gold Medal
2133224	ucdt	NC's Perfect Shotgun
2829572	ugdt	kmoyer - test gun
2938536	ucdt	Decreases the time taken to reload weapon by 0.2 seconds.
3073012	ucdt	PLACEHOLDER WEAPON NAME
3421238	ucdt	Improved turn, roll, and agility. (More effective than previous rank)
3423464	ucdt	Gunner Kill Share - Drop Pod
3505127	ucdt	Squad Leadership
3566505	ucdt	SCORE
3916918	ucdt	NS-60 Flamethrower: Copper Medal
4234178	ucdt	ACE Tool - Turret: Copper Medal
4376735	ucdt	This gravity pad lets you move up and down, and do it quickly. Simply step on the pad and you will ascend or descend in the direction of the flowing particles.
4377775	ucdt	Amerish Scrub Vehicle Camo
4387352	ugdt	Static Arctic Weapon Camo
4392764	ucdt	REGION
4414651	ugdt	Ashtiger Vehicle Camo
4593374	ucdt	Promote/Demote Members
4614870	ucdt	<font color="#7FF4FF">[/re]gionsay </font>- Sends a text message to all allies in your current region.  Your current region is noted on the left side of the main screen above the map.
4669484	ucdt	Decreases the time taken to reload weapon by 0.5 seconds.
4826084	ucdt	Applies a decal to your vehicle. All factions can use this decal.
5404723	ucdt	Sniper: Deal a total of 50,000 damage
5939547	ucdt	Increases the maximum ammo capacity of the weapon by 18 shells.
6081400	ucdt	NC12 Sweeper: Gold Medal
6256017	ucdt	Kill Marks Vehicle Decal
6329828	ucdt	Skyguard Gun
6704529	ucdt	Concussion Grenade
7092567	ugdt	TX4 Tyrant
7199127	ucdt	Increases the maximum ammo capacity of the weapon by 13 shells.
7396785	ucdt	As you earn <font color="#7FF4FF">EXPERIENCE</font> you will earn <font color="#E88127">CERTIFICATION POINTS</font>
7734604	ucdt	VEHICLE TEST ITEM: Reuse as needed.  Currently test item for shield penetration
7782577	ugdt	Cadet 1 Decal
8005190	ucdt	Reaver Decal
8074851	ucdt	Apply the Indar Scrub camo pattern to your vehicle. All factions can use this gear.
8606739	ucdt	Antares LC: Auraxium Medal
8801686	ucdt	 Allows the Infiltrator to spot enemy explosives and relay that information to nearby friendly soldiers.
8804133	ugdt	Daum Title 5
8834800	ucdt	Bravo Squad Waypoint
9171317	ucdt	Hold [%s] to Hack the door lock
9175067	ucdt	Light Assault: Kill 250 enemy infantry
9206774	ucdt	Ammunition Package: Gold Medal
9566403	ugdt	Esamir Hearts Armor Camo
9740375	ucdt	Blackshard Iridium Mine
9827891	ucdt	EREOF
9917213	ucdt	Reduces the acquire timer of the Magrider by 720 seconds.
9961268	ucdt	Raven: Auraxium Medal
10016439	ucdt	Bomb Hood Ornament
10036557	ugdt	Cockpit: Cyan Metallic Decal
10206614	ucdt	Ursa: Auraxium Medal
10220348	ucdt	VS Gruff Voice Pack
10532064	ugdt	PS1 Hood Ornament
10583549	ucdt	Hubcaps 003 (DNT)
10727597	ucdt	Horn
10859176	ucdt	Concussion Grenade: Auraxium Medal
10916576	ucdt	CLASSIFICATION
10974908	ucdt	Follow your waypoint.
11069320	ucdt	DISBAND OUTFIT
11205534	ugdt	"W" Hood Ornament
11338385	ucdt	The9 Placeholder
11535759	ucdt	Pulsar VS1
11848663	ucdt	Galaxy Vehicle Decal
11917812	ucdt	Reload Speed 3
12593078	ucdt	Caustic Smoke 4
12771382	ugdt	Phantom VA23
12839057	ucdt	VS Daredevil Voice Pack
12865932	ucdt	Windblown Armor Camo
13038543	ucdt	SETTINGS
13142877	ucdt	Increases the maximum ammo capacity of the weapon by 24 rockets.
